flight_id,window_id,window_start,window_end,time,elapsed_seconds,battery_status__voltage_v,battery_status__current_a,battery_status__remaining,system_power__voltage5V_v,vehicle_gps_position__eph,vehicle_gps_position__epv,vehicle_gps_position__jamming_indicator,vehicle_gps_position__vel_m_s,vehicle_gps_position__satellites_used,vehicle_local_position__x,vehicle_local_position__y,vehicle_local_position__z,vehicle_local_position__vz,vehicle_local_position__xy_valid,vehicle_attitude__rollspeed,vehicle_attitude__pitchspeed,vehicle_attitude__yawspeed,vehicle_attitude_setpoint__roll_body,vehicle_attitude_setpoint__pitch_body,vehicle_attitude_setpoint__thrust,sensor_combined__gyro_rad_0,sensor_combined__gyro_rad_1,sensor_combined__gyro_rad_2,sensor_combined__accelerometer_m_s2_0,sensor_combined__accelerometer_m_s2_1,sensor_combined__accelerometer_m_s2_2,sensor_baro__pressure,sensor_baro__altitude,estimator_status__vel_test_ratio,estimator_status__pos_test_ratio,estimator_status__hgt_test_ratio,estimator_status__innovation_check_flags,ekf2_innovations__vel_pos_innov_0,ekf2_innovations__vel_pos_innov_1,ekf2_innovations__vel_pos_innov_2,ekf2_innovations__vel_pos_innov_3,ekf2_innovations__vel_pos_innov_4,ekf2_innovations__vel_pos_innov_5,actuator_controls_0__control_0,actuator_controls_0__control_1,actuator_controls_0__control_2,actuator_controls_0__control_3,actuator_outputs__output_0,actuator_outputs__output_1,actuator_outputs__output_2,actuator_outputs__output_3,cpuload__load,cpuload__ram_usage
18_57_00,0,00:00:00:000,00:00:10:000,00:00:00:000,0,24.51917,0,0.9024299,5.230371,12.092001,17.454,5,0.44400004,9,-0.09700025,-0.078646,-0.05725088,-0.01571855,1,0.001864559,0.001189419,-0.041918024,-0.03230651,0.052754212,0,0.001187077,0.002747425,-0.002107171,0.13647614,-0.07088017,-9.802715,1004.25,75.18804,0,0.002302892,0.036408618,64,0,0,0,0.00053639,0.00063102,0.019104816,-0.022316154,0.015591482,0.008562068,0,900,900,900,900,0.750771,0.9626962
18_57_00,0,00:00:00:000,00:00:10:000,00:00:00:100,0.1,24.51917,0,0.9024299,5.230371,12.092001,17.454,5,0.44400004,9,-0.09700025,-0.078646,-0.05725088,-0.01571855,1,0.001864559,0.001189419,-0.041918024,-0.03230651,0.052754212,0,0.001187077,0.002747425,-0.002107171,0.13647614,-0.07088017,-9.802715,1004.25,75.18804,0,0.002302892,0.036408618,64,0,0,0,0.00053639,0.00063102,0.019104816,-0.022316154,0.015591482,0.008562068,0,900,900,900,900,0.750771,0.9626962
18_57_00,0,00:00:00:000,00:00:10:000,00:00:00:200,0.2,24.51917,0,0.9024299,5.230371,12.092001,17.454,5,0.44400004,9,-0.09700025,-0.078646,-0.05725088,-0.01571855,1,0.001864559,0.001189419,-0.041918024,-0.03230651,0.052754212,0,0.001187077,0.002747425,-0.002107171,0.13647614,-0.07088017,-9.802715,1004.25,75.18804,0,0.002302892,0.036408618,64,0,0,0,0.00053639,0.00063102,0.019104816,-0.022316154,0.015591482,0.008562068,0,900,900,900,900,0.750771,0.9626962
18_57_00,0,00:00:00:000,00:00:10:000,00:00:00:300,0.3,24.51917,0,0.9024299,5.230371,12.092001,17.454,5,0.44400004,9,-0.09700025,-0.078646,-0.05725088,-0.01571855,1,0.001864559,0.001189419,-0.041918024,-0.03230651,0.052754212,0,0.001187077,0.002747425,-0.002107171,0.13647614,-0.07088017,-9.802715,1004.25,75.18804,0,0.002302892,0.036408618,64,0,0,0,0.00053639,0.00063102,0.019104816,-0.022316154,0.015591482,0.008562068,0,900,900,900,900,0.750771,0.9626962
18_57_00,0,00:00:00:000,00:00:10:000,00:00:00:400,0.4,24.51917,0,0.9024299,5.230371,12.092001,17.454,5,0.44400004,9,-0.09700025,-0.078646,-0.05725088,-0.01571855,1,0.001864559,0.001189419,-0.041918024,-0.03230651,0.052754212,0,0.001187077,0.002747425,-0.002107171,0.13647614,-0.07088017,-9.802715,1004.25,75.18804,0,0.002302892,0.036408618,64,0,0,0,0.00053639,0.00063102,0.019104816,-0.022316154,0.015591482,0.008562068,0,900,900,900,900,0.750771,0.9626962
18_57_00,0,00:00:00:000,00:00:10:000,00:00:00:500,0.5,24.51917,0,0.9024299,5.230371,12.092001,17.454,5,0.44400004,9,-0.09700025,-0.078646,-0.05725088,-0.01571855,1,0.001864559,0.001189419,-0.041918024,-0.03230651,0.052754212,0,0.001255626,0.002319567,0.000342936,0.13064426,-0.06705856,-9.790315,1004.25,75.18804,0,0.002302892,0.036408618,64,0,0,0,0.00053639,0.00063102,0.019104816,-0.022316154,0.015591482,0.008562068,0,900,900,900,900,0.750771,0.9626962
18_57_00,0,00:00:00:000,00:00:10:000,00:00:00:600,0.6,24.51917,0,0.9024299,5.230371,12.092001,17.454,5,0.44400004,9,-0.0970376,-0.078739166,-0.05735786,-0.01508394,1,-0.000219851,0.002034539,-0.040369727,-0.031988684,0.052754935,0,-0.000284019,0.002746064,-0.00131411,0.13120744,-0.06941389,-9.8207445,1004.27997,74.936516,0,0.002302892,0.036408618,64,0,0,0,0.00053639,0.00063102,0.050842218,-0.021404313,0.01507418,0.00807731,0,900,900,900,900,0.750771,0.9626962
18_57_00,0,00:00:00:000,00:00:10:000,00:00:00:700,0.7,24.51917,0,0.9024299,5.230371,12.092001,17.454,5,0.44400004,9,-0.0970376,-0.078739166,-0.05735786,-0.01508394,1,0.000493027,-9.40E-05,-0.041447517,-0.031988684,0.052754935,0,-0.000807531,0.000830569,-0.001092525,0.1516204,-0.059415624,-9.808377,1004.27997,74.936516,0,0.002302892,0.036408618,64,0,0,0,0.00053639,0.00063102,0.050842218,-0.021404313,0.01507418,0.00807731,0,900,900,900,900,0.750771,0.9626962
18_57_00,0,00:00:00:000,00:00:10:000,00:00:00:800,0.8,24.51917,0,0.9038685,5.230371,12.167001,17.588001,4,0.48100004,9,-0.0970376,-0.078739166,-0.05735786,-0.01508394,1,0.000493027,-9.40E-05,-0.041447517,-0.031988684,0.052754935,0,-0.000807531,0.000830569,-0.001092525,0.1516204,-0.059415624,-9.808377,1004.27997,74.936516,0,0.002302892,0.036408618,64,0,0,0,0.00053639,0.00063102,0.050842218,-0.021404313,0.01507418,0.00807731,0,900,900,900,900,0.750771,0.9626962
18_57_00,0,00:00:00:000,00:00:10:000,00:00:00:900,0.9,24.51917,0,0.9038685,5.230371,12.167001,17.588001,4,0.48100004,9,-0.097470306,-0.07880259,-0.058051337,-0.013907271,1,0.00145155,0.000976901,-0.040024593,-0.030768074,0.052757617,0,-0.000324905,-0.000335921,-0.002704698,0.14663109,-0.07759049,-9.816801,1004.25995,75.1042,0,0.001140053,0.12800744,64,0,0,0,0.00053639,0.00063102,0.050842218,-0.021890612,0.014775733,0.006829866,0,900,900,900,900,0.882473,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:01:000,1,24.51917,0,0.9038685,5.230371,12.167001,17.588001,4,0.48100004,9,-0.097470306,-0.07880259,-0.058051337,-0.013907271,1,0.00145155,0.000976901,-0.040024593,-0.030768074,0.052757617,0,0.000784607,0.002532025,-0.001342661,0.13131018,-0.061795786,-9.819292,1004.25995,75.1042,0,0.001140053,0.12800744,64,0,0,0,0.000166565,0.000312872,-0.06713795,-0.021890612,0.014775733,0.006829866,0,900,900,900,900,0.882473,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:01:100,1.1,24.51917,0,0.9038685,5.230371,12.167001,17.588001,4,0.48100004,9,-0.097663626,-0.07876587,-0.061205376,-0.017536115,1,0.000269515,0.000659622,-0.03835822,-0.031838875,0.05275527,0,-0.000452193,0.000718305,0.000174258,0.14398494,-0.052683353,-9.807727,1004.29,74.85267,0,0.001140053,0.12800744,64,0,0,0,0.000166565,0.000312872,-0.06713795,-0.021863809,0.016107213,0.006581691,0,900,900,900,900,0.882473,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:01:200,1.2,24.51917,0,0.9038685,5.230371,12.167001,17.588001,4,0.48100004,9,-0.09787197,-0.078746006,-0.0641683,-0.019675005,1,0.00048173,0.002682516,-0.038571607,-0.0322963,0.05275423,0,-0.000898763,0.002208254,-0.000554763,0.15160048,-0.07333464,-9.775201,1004.23,75.355736,0,0.001140053,0.12800744,64,0,0,0,0.000166565,0.000312872,-0.06713795,-0.021922067,0.01584795,0.007496132,0,900,900,900,900,0.882473,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:01:300,1.3,24.480158,0,0.9051253,5.230371,12.177001,17.608002,4,0.374,9,-0.09801816,-0.078693025,-0.06800872,-0.02213678,1,0.001124039,-0.000509245,-0.03854992,-0.03230632,0.052754212,0,-0.001549801,0.001687149,-0.000957383,0.13604847,-0.07235254,-9.801301,1004.29,74.85267,0,0.001140053,0.1394106,64,0,0,0,0.000166565,0.000312872,-0.07311646,-0.022199653,0.015054435,0.006630387,0,900,900,900,900,0.882473,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:01:400,1.4,24.480158,0,0.9051253,5.230371,12.177001,17.608002,4,0.374,9,-0.09808615,-0.078628585,-0.06894498,-0.021731881,1,0.000382495,-8.05E-05,-0.038444888,-0.032306477,0.05275421,0,0.001062872,0.000936347,-0.002741223,0.13744232,-0.08184467,-9.837043,1004.31,74.68499,0,0.001140053,0.1394106,64,0,0,0,0.000166565,0.000312872,-0.07311646,-0.021310087,0.015290079,0.007299964,0,900,900,900,900,0.882473,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:01:500,1.5,24.480158,0,0.9051253,5.230371,12.191001,17.634,4,0.541,9,-0.0980373,-0.07855684,-0.066672474,-0.019199755,1,-0.000140154,-0.002308955,-0.03616019,-0.032306474,0.05275421,0,0.000298614,0.000193376,0.000362602,0.15398422,-0.079948835,-9.809165,1004.31,74.68499,0,0.00108361,0.1088517,64,0,0,0,0.000235558,0.00029815,-0.05709929,-0.021384623,0.015783546,0.006314081,0,900,900,900,900,0.882473,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:01:600,1.6,24.480158,0,0.9051253,5.230371,12.191001,17.634,4,0.541,9,-0.097929135,-0.07855524,-0.06590572,-0.019067034,1,0.001183599,-0.002097364,-0.03856564,-0.032306474,0.05275421,0,0.000162011,0.001138879,-0.000692841,0.1291533,-0.07469555,-9.810083,1004.25,75.18804,0,0.00108361,0.1088517,64,0,0,0,0.000235558,0.00029815,-0.05709929,-0.022398496,0.01521759,0.007894873,0,900,900,900,900,0.882473,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:01:700,1.7,24.480158,0,0.9051253,5.230371,12.203001,17.657001,4,0.42800003,9,-0.097791865,-0.07857397,-0.063267455,-0.016217625,1,0.002366841,-0.001242944,-0.03814393,-0.032306474,0.05275421,0,0.00119899,0.000401142,-0.001681362,0.1343394,-0.08905709,-9.810826,1004.25,75.18804,0,0.00108361,0.1065121,64,0,0,0,0.000235558,0.00029815,-0.055862106,-0.022276409,0.015063192,0.006082451,0,900,900,900,900,0.882473,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:01:800,1.8,24.499664,0,0.90403706,5.2271485,12.203001,17.657001,4,0.42800003,9,-0.09768207,-0.07864277,-0.06141619,-0.014229531,1,-0.000581456,-0.00124638,-0.03707902,-0.030738162,0.05275768,0,0.000147186,0.001893435,-0.001222716,0.13308181,-0.060385484,-9.804607,1004.26996,75.020355,0,0.00108361,0.1065121,64,0,0,0,0.000235558,0.00029815,-0.055862106,-0.021749672,0.015601101,0.007021739,0,900,900,900,900,0.882473,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:01:900,1.9,24.499664,0,0.90403706,5.2271485,12.213,17.675001,4,0.633,9,-0.0976112,-0.07866381,-0.059352107,-0.012300846,1,0.000105899,-0.0006071,-0.03883468,-0.030766627,0.05275762,0,-0.000804308,0.001784639,-0.000984027,0.14477955,-0.068507075,-9.796841,1004.31,74.68499,0,0.00108361,0.105136,64,0,0,0,0.000235558,0.00029815,-0.055140898,-0.021127962,0.015650477,0.00677509,0,1075,1075,1075,1075,0.824591,0.9636475
